code,system
4914.00,readv2
4915.00,readv2
4916.00,readv2
4917.00,readv2
K26..00,readv2
102597.0,med
102703.0,med
1615.0,med
32485.0,med
3331.0,med
36264.0,med
38990.0,med
4520.0,med
5292.0,med
54282.0,med
58858.0,med
61954.0,med
7273.0,med
766.0,med
99607.0,med
K260.00,readv2
K260.11,readv2
K261.00,readv2
K261000,readv2
K262.00,readv2
K26y.00,readv2
K26yz00,readv2
K26y200,readv2
K26y300,readv2
K26y400,readv2
K26z.00,readv2
K5B6.00,readv2
K5B1000,readv2
K5B1100,readv2
K5By000,readv2
K5By100,readv2
K5Byz11,readv2
101598.0,med
108577.0,med
1943.0,med
2014.0,med
7246.0,med
94448.0,med
99535.0,med
N46,icd10